O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
Entität,Facebook-Post,Facebook-Post,Ein Posting oder Post ist ein einzelner Beitrag auf der Social-Media-Plattform Facebook.,Fachbuch,,,stc://media-0-4/Facebook-Post,entity.stc://media-0-4/Facebook-Post,
Entität,Tweet,Tweet,beim Twittern gesendeter/geteilter Inhalt,Fachbuch,,,stc://media-0-4/Tweet,entity.stc://media-0-4/Tweet,
Entität,question,Frage,"Äußerung, mit der man sich an jemanden wendet und auf die man eine Antwort erwartet",Fachbuch,,,https://www.wikidata.org/wiki/Q189756,entity.https://www.wikidata.org/wiki/Q189756,
Entität,answer,Antwort,"mündliche oder schriftliche Erwiderung, Entgegnung; Reaktion",Fachbuch,,,https://www.wikidata.org/wiki/Q1920566,entity.https://www.wikidata.org/wiki/Q1920566,
Entität,promise,Versprechen,"verbindlich erklären, zusichern, etwas Bestimmtes zu tun",Fachbuch,,,https://www.wikidata.org/wiki/Q1425577,entity.https://www.wikidata.org/wiki/Q1425577,
Entität,freedom,Freiheit,"Zustand, in dem jemand frei von bestimmten persönlichen oder gesellschaftlichen, als Zwang oder Last empfundenen Bindungen oder Verpflichtungen, unabhängig ist und sich in seinen Entscheidungen o. Ä. nicht eingeschränkt fühlt",Fachbuch,,,https://www.wikidata.org/wiki/Q243968,entity.https://www.wikidata.org/wiki/Q243968,
Entität,sovereignty,Souveränität,Unabhängigkeit eines Staates (vom Einfluss anderer Staaten),Fachbuch,,,https://www.wikidata.org/wiki/Q42008,entity.https://www.wikidata.org/wiki/Q42008,
Entität,democracy,Demokratie,"politisches Prinzip, nach dem das Volk durch freie Wahlen an der Machtausübung im Staat teilhat",Fachbuch,,,https://www.wikidata.org/wiki/Q7174,entity.https://www.wikidata.org/wiki/Q7174,
Entität,quality improvement,Qualitätsverbesserung,Verbesserung der Qualität ,Fachbuch,,,stc://media-0-4/quality_improvement,entity.stc://media-0-4/quality_improvement,
Entität,quantity increase,Quantitätssteigerung,Steigerung der Anzahl,Fachbuch,,,stc://media-0-4/quantity_increase,entity.stc://media-0-4/quantity_increase,
Entität,support,Unterstützung,"Helfen, Fördern",Fachbuch,,,stc://media-0-4/support,entity.stc://media-0-4/support,
Entität,peace,Frieden,"Frieden ist allgemein definiert als ein heilsamer Zustand der Stille oder Ruhe, als die Abwesenheit von Störung oder Beunruhigung und besonders von Krieg (hier ist i.d.R. letztgenannter Zusammenhang gemeint).",Fachbuch,,,https://www.wikidata.org/wiki/Q454,entity.https://www.wikidata.org/wiki/Q454,
Entität,bid,Gebot,"moralisches oder religiöses Gesetz, das ein bestimmtes Handeln, Verhalten [allgemein] verbindlich vorschreibt, fordert",Fachbuch,,,https://www.wikidata.org/wiki/Q16831523,entity.https://www.wikidata.org/wiki/Q16831523,
Entität,reason,Vernunft,"geistige Fähigkeit des Menschen, Einsichten zu gewinnen, sich ein Urteil zu bilden, die Zusammenhänge und die Ordnung des Wahrgenommenen zu erkennen und sich in seinem Handeln danach zu richten",Fachbuch,,,stc://media-0-4/reason,entity.stc://media-0-4/reason,
Entität,weakness,Schwäche,"fehlende körperliche Funktionsfähigkeit, mangelnde Fähigkeit zu wirken, seine Funktion auszuüben",Fachbuch,,,https://www.wikidata.org/wiki/Q102186689,entity.https://www.wikidata.org/wiki/Q102186689,
Entität,hesitation,Zögerlichkeit,"abwartendes, entschlussloses Vorgehen",Fachbuch,,,stc://media-0-4/hesitation,entity.stc://media-0-4/hesitation,
Entität,dot,Punkt,Satzzeichen,Fachbuch,,,https://www.wikidata.org/wiki/Q669057,entity.https://www.wikidata.org/wiki/Q669057,
Entität,expansion,Ausdehnung,"Ausbreitung, sich vergrößernd",Fachbuch,,,https://www.wikidata.org/wiki/Q778301,entity.https://www.wikidata.org/wiki/Q778301,
Entität,de-escalation,Deeskalation,"Ein Problem oder Konflikt wird durch Handlung oder Kommunikation deeskaliert/entschärft, diese Entität muss durch einen Kontext spezifiziert werden.",Fachbuch,entity:schema,[de-escalation] <is a> [ActivityPolitical],https://www.wikidata.org/wiki/Q1182511,entity.https://www.wikidata.org/wiki/Q1182511,
Entität,escalation,Eskalation,"Ein Problem oder Konflikt wird durch Handlung oder Kommunikation eskaliert/verschärft, diese Entität muss durch einen Kontext spezifiziert werden.",Fachbuch,entity:schema,[escalation] <is a> [ActivityPolitical],https://www.wikidata.org/wiki/Q11290000,entity.https://www.wikidata.org/wiki/Q11290000,
Entität,chain reaction,Kettenreaktion,"Folge von [sich steigernden] Ereignissen, die durch ein gleichartiges Ereignis ausgelöst wird",Fachbuch,,,https://www.wikidata.org/wiki/Q1160121,entity.https://www.wikidata.org/wiki/Q1160121,
Entität,interview,Interview,"von einem Berichterstatter von Presse, Rundfunk oder Fernsehen mit einer meist bekannten Persönlichkeit geführtes Gespräch, in dem diese sich zu gezielten, aktuellen [politischen] Themen oder die eigene Person betreffenden Fragen äußert",Fachbuch Medien,,,https://dbpedia.org/page/Interview,entity.https://dbpedia.org/page/Interview,
Entität,Stern (magazine),Stern (Magazin),Der Stern erscheint als aktuelles Wochenmagazin jeden Donnerstag und wird in deutschsprachigen Ländern verbreitet.,Fachbuch Medien,,,https://dbpedia.org/page/Stern_(magazine),entity.https://dbpedia.org/page/Stern_(magazine),
Entität,reckless action,unbesonnenes Handeln,gedankenloses Vorgehen/Handeln,Fachbuch,,,stc://media-0-4/reckless_action,entity.stc://media-0-4/reckless_action,
Entität,(to make a) decision,Entscheidung (treffen),"das Sichentschließen, zu einer Entscheidung kommen",Fachbuch,,,https://www.wikidata.org/wiki/Q16513426,entity.https://www.wikidata.org/wiki/Q16513426,
Entität,call(s),Ruf(e),"laute kurze Äußerung, mit der jemand einen andern über eine [weitere] Entfernung erreichen will",Fachbuch,,,https://www.wikidata.org/wiki/Q7390,entity.https://www.wikidata.org/wiki/Q7390,
Entität,moral duty,moralische Pflicht,"Die Pflicht, Sitte und Moral genau einzuhalten",Fachbuch,,,https://www.wikidata.org/wiki/Q56210320,entity.https://www.wikidata.org/wiki/Q56210320,
Entität,consideration,Abwägung,Überlegung zum Für und Wider anlässlich einer Entscheidung.,Fachbuch,,,https://www.wikidata.org/wiki/Q336341,entity.https://www.wikidata.org/wiki/Q336341,
Entität,Guideline(s),Leitlinie(n) ,"bestimmender Grundsatz, leitender Gesichtspunkt, richtungweisender Anhaltspunkt (für das Handeln)",Fachbuch,,,https://www.wikidata.org/wiki/Q1406816,entity.https://www.wikidata.org/wiki/Q1406816,
Entität,claim,Behauptung,"Äußerung, in der etwas als Tatsache hingestellt wird",Fachbuch,,,https://www.wikidata.org/wiki/Q474328,entity.https://www.wikidata.org/wiki/Q474328,
